name,type,field,key,value,unit,source_url,source_type,method,confidence,raw,fetched_at
ASUS ROG MAXIMUS Z790 HERO,mainboard,form_factor,,ITX,,https://www.asus.com/motherboards-components/motherboards/rog-maximus/rog-maximus-z790-hero/techspec/,mainboard_spec,text-regex,0.7,ASUS Global Skip to content Accessibility help Gaming Business Environment AI Mobile / Handhelds Laptops Displays / Desktops Motherboards / Components Networking / IoT / Servers Accessories Support Su,2026-09-08T06:35:36+00:00
ASUS ROG STRIX Z790-E GAMING WIFI,mainboard,form_factor,,ITX,,https://www.asus.com/motherboards-components/motherboards/rog-strix/rog-strix-z790-e-gaming-wifi/techspec/,mainboard_spec,text-regex,0.7,ASUS Global Skip to content Accessibility help Gaming Business Environment AI Mobile / Handhelds Laptops Displays / Desktops Motherboards / Components Networking / IoT / Servers Accessories Support Su,2026-09-08T06:35:41+00:00
ASUS TUF GAMING Z790-PLUS WIFI,mainboard,socket,,LGA1700,,https://www.asus.com/motherboards-components/motherboards/tuf-gaming/tuf-gaming-z790-plus-wifi/techspec/,mainboard_spec,text-regex,0.75,"790-PLUS WIFI News & Updates CPU Intel® Socket LGA1700 for Intel® Core™ 14th & 13th Gen Processors, Intel® Core™ 12th Gen, Pentium® Gold and Celeron® Processors* Supports Intel ® Turbo Boost Technolog",2026-09-08T06:35:45+00:00
ASUS TUF GAMING Z790-PLUS WIFI,mainboard,form_factor,,ATX,,https://www.asus.com/motherboards-components/motherboards/tuf-gaming/tuf-gaming-z790-plus-wifi/techspec/,mainboard_spec,text-regex,0.7,"ystem Windows ® 11, Windows ® 10 64-bit Form Factor ATX Form Factor 12 inch x 9.6 inch ( 30.5 cm x 24.4 cm ) Products certified by the Federal Communications Commission and Industry Canada will be dis",2026-09-08T06:35:45+00:00
ASUS PRIME Z790-P WIFI,mainboard,socket,,LGA1700,,https://www.asus.com/motherboards-components/motherboards/prime/prime-z790-p-wifi/techspec/,mainboard_spec,text-regex,0.75," Z790-P WIFI News & Updates CPU Intel ® Socket LGA1700 for Intel ® Core™ 14 th & 13 th Gen Processors, Intel ® Core™ 12 th Gen, Pentium ® Gold and Celeron ® Processors* Supports Intel ® Turbo Boost Te",2026-09-08T06:35:45+00:00
ASUS PRIME Z790-P WIFI,mainboard,form_factor,,ATX,,https://www.asus.com/motherboards-components/motherboards/prime/prime-z790-p-wifi/techspec/,mainboard_spec,text-regex,0.7,"ystem Windows ® 11, Windows ® 10 64-bit Form Factor ATX Form Factor 12 inch x 9.2 inch ( 30.5 cm x 23.4 cm ) Products certified by the Federal Communications Commission and Industry Canada will be dis",2026-09-08T06:35:45+00:00
ASUS PRIME B760M-A WIFI,mainboard,socket,,LGA1700,,https://www.asus.com/motherboards-components/motherboards/prime/prime-b760m-a-wifi/techspec/,mainboard_spec,text-regex,0.75,"B760M-A WIFI News & Updates CPU Intel ® Socket LGA1700 for Intel ® Core™ 14 th & 13 th Gen Processors, Intel ® Core™ 12 th Gen, Pentium ® Gold and Celeron ® Processors* Supports Intel ® Turbo Boost Te",2026-09-08T06:35:45+00:00
ASUS PRIME B760M-A WIFI,mainboard,form_factor,,mATX,,https://www.asus.com/motherboards-components/motherboards/prime/prime-b760m-a-wifi/techspec/,mainboard_spec,text-regex,0.7,"ystem Windows ® 11, Windows ® 10 64-bit Form Factor mATX Form Factor 9.6 inch x 9.6 inch ( 24.4 cm x 24.4 cm ) Products certified by the Federal Communications Commission and Industry Canada will be d",2026-09-08T06:35:45+00:00
ASUS TUF GAMING B760-PLUS WIFI,mainboard,socket,,LGA1700,,https://www.asus.com/motherboards-components/motherboards/tuf-gaming/tuf-gaming-b760-plus-wifi/techspec/,mainboard_spec,text-regex,0.75,"760-PLUS WIFI News & Updates CPU Intel® Socket LGA1700 for Intel® Core™ 14th & 13th Gen Processors, Intel® Core™ 12th Gen, Pentium® Gold and Celeron® Processors* Supports Intel ® Turbo Boost Technolog",2026-09-08T06:35:45+00:00
ASUS TUF GAMING B760-PLUS WIFI,mainboard,form_factor,,ATX,,https://www.asus.com/motherboards-components/motherboards/tuf-gaming/tuf-gaming-b760-plus-wifi/techspec/,mainboard_spec,text-regex,0.7,"ystem Windows ® 11, Windows ® 10 64-bit Form Factor ATX Form Factor 12 inch x 9.6 inch ( 30.5 cm x 24.4 cm ) Products certified by the Federal Communications Commission and Industry Canada will be dis",2026-09-08T06:35:45+00:00
