제조사,모델명,가격(원),무게(g),크기(mm),상품 URL,이미지 URL,설명서 URL,축 종류,스위치 방식,래피드 트리거,연결 방식
로지텍(Logitech),G915 X LIGHTSPEED,317130,,,https://www.logitechg.com/ko-kr/shop/p/g915-x-wireless-mechanical-gaming-keyboard?sp=2&searchclick=Logitech%20G,"https://resource.logitechg.com/w_544,h_466,ar_7:6,c_pad,q_auto,f_auto,dpr_2.0/d_transparent.gif/content/dam/gaming/en/products/g915-x-lightspeed-wireless/gallery/g915-x-wireless-mechanical-gaming-keyboard-gallery-1-kor.png",,GL Linear / GL Tactile / GL Clicky,로우프로파일 기계식,X,LIGHTSPEED 2.4GHz / Bluetooth / USB
로지텍(Logitech),PRO X TKL RAPID,257270,,,https://www.logitechg.com/ko-kr/shop/p/pro-x-tkl-rapid.920-013238?sp=1&searchclick=Logitech%20G,"https://resource.logitechg.com/w_544,h_466,ar_7:6,c_pad,q_auto,f_auto,dpr_2.0/d_transparent.gif/content/dam/gaming/en/products/pro-x-tkl-rapid/gallery/pro-x-tkl-rapid-black-gallery-1-kor.png",,Logitech G Magnetic Analog Switch,마그네틱 아날로그,O,USB
로지텍(Logitech),G515 RAPID TKL,137870,,,https://www.logitechg.com/ko-kr/shop/p/g515-rapid-tkl?utm_source=chatgpt.com,"https://resource.logitechg.com/w_544,h_466,ar_7:6,c_pad,q_auto,f_auto,dpr_2.0/d_transparent.gif/content/dam/gaming/en/products/g515-rapid-tkl-pdp/gallery/g515-rapid-tkl-midnight-black-top-angle-gallery-1-us.png",,Low-profile Magnetic Analog Switch,마그네틱 아날로그,O,USB
로지텍(Logitech),MX Mechanical,149000,,,https://www.logitech.com/ko-kr/shop/p/mx-mechanical?utm_source=chatgpt.com,"https://resource.logitech.com/w_544,h_466,ar_7:6,c_pad,q_auto,f_auto,dpr_2.0/d_transparent.gif/content/dam/logitech/en/products/keyboards/mx-mechanical/migration-assets-for-delorean-2025/gallery/mx-mechanical-top-view-graphite-kor.png",,Tactile Quiet / Linear / Clicky,로우프로파일 기계식,X,Logi Bolt / Bluetooth
로지텍(Logitech),MX Keys S,166480,,,https://www.logitech.com/ko-kr/shop/p/mx-keys-s?utm_source=chatgpt.com,"https://resource.logitech.com/w_544,h_466,ar_7:6,c_pad,q_auto,f_auto,dpr_2.0/d_transparent.gif/content/dam/logitech/en/products/keyboards/mx-keys-s/product-gallery/graphite/mx-keys-s-keyboard-top-view-graphite-kor.png",,—,Scissor / 팬터그래프,X,Logi Bolt / Bluetooth
커세어(Corsair),K70 MAX RGB,312000,,,https://www.corsair.com/kr/ko/p/keyboards/ch-910961g-na/k70-max-rgb-magnetic-mechanical-gaming-keyboard-adjustable-corsair-mgx-switches-steel-grey-ch-910961g-na?position=5&queryID=5a97fdb7ae96d54cb8de9e5029114b1b,"https://assets.corsair.com/image/upload/c_pad,q_85,h_1100,w_1100,f_auto/products/Gaming-Keyboards/k70-max/CH-910961G-NA/CH-910961G_01.webp",,CORSAIR MGX,마그네틱 스위치,O,USB
커세어(Corsair),K70 CORE RGB,139000,,,https://www.corsair.com/kr/ko/p/keyboards/ch-910971e-kr2/k70-core-rgb-mechanical-gaming-keyboard-black-kr-ch-910971e-kr2?utm_source=chatgpt.com,"https://assets.corsair.com/image/upload/c_pad,q_85,h_1100,w_1100,f_auto/products/Gaming-Keyboards/k70-core/Gallery/CH-910971E-KR2_01.webp",,CORSAIR MLX Red,기계식,X,USB
커세어(Corsair),K70 CORE TKL Wireless,206000,,,https://www.corsair.com/kr/ko/p/keyboards/ch-914901s-kr2/k70-core-tkl-wireless-rgb-mechanical-gaming-keyboard-silent-switches-kr-ch-914901s-kr2?position=14&queryID=786ff3edc7693d8974f0b071db502357&utm_source=chatgpt.com,"https://assets.corsair.com/image/upload/c_pad,q_85,h_1100,w_1100,f_auto/products/Gaming-Keyboards/base-k70-core-tkl-wireless-config/gallery/CH-914901E-KR2/K70_CORE_TKL_WIRELESS_01.webp",,CORSAIR MLX Red v2 / MLX Silent,기계식,X,USB / SLIPSTREAM / Bluetooth
커세어(Corsair),K65 PLUS Wireless,207000,,,https://www.corsair.com/kr/ko/p/keyboards/ch-91b4bad-na/k65-plus-wireless-75-rgb-mechanical-gaming-keyboard-cyberpunk-2077-arasaka-edition-ch-91b4bad-na?position=2&queryID=9f67e6b965cc9fb6a78b275b21d79b70,"https://assets.corsair.com/image/upload/c_pad,q_85,h_1100,w_1100,f_auto/products/Cyberpunk-Arasaka/Gallery/Cyberpunk_K65_Top_WEB.webp",,CORSAIR MLX Red,기계식,X,USB / 2.4GHz / Bluetooth
커세어(Corsair),K100 AIR Wireless,402000,,,https://www.corsair.com/kr/ko/p/keyboards/ch-913a01u-kr2/k100-air-wireless-rgb-ultra-thin-mechanical-gaming-keyboard-cherry-mx-ultra-low-profile-tactile-ch-913a01u-kr2?position=23&queryID=56a04b30a4b9abf048e2b53b0d551d3e&utm_source=chatgpt.com,"https://assets.corsair.com/image/upload/c_pad,q_85,h_1100,w_1100,f_auto/products/Gaming-Keyboards/base-k100-air-wireless-config/Gallery/K100_RGB_AIR_WIRELESS_01.webp",,CHERRY MX Ultra Low Profile Tactile,초저상형 기계식,X,USB / SLIPSTREAM / Bluetooth
