제조사,모델명,가격(원),무게(g),크기(mm),상품 URL,이미지 URL,설명서 URL,모델코드,화면크기(inch),해상도,최대주사율(Hz),패널,"응답속도(ms, GtG)",밝기(nit),곡률,HDMI 버전,HDMI 개수,DP 버전,DP 개수,DP 커넥터,USB-C 영상입력,USB-C 전력공급(W),VESA 규격(mm),포트별 제한,참고사항
ASUS,ASUS ProArt Display PA279CRV,690000,,,https://www.asus.com/us/displays-desktops/monitors/proart/proart-display-pa279crv/techspec/,https://dlcdnwebimgs.asus.com/gain/28581920-41a9-4ea9-a94f-fd6a83eb57fd/w692,https://www.asus.com/kr/supportonly/pa279crv/helpdesk_manual/,PA279CRV,27,3840x2160,60,IPS,5,350,미표기,2,2,1.4,2,표준,USB-C,96,100x100,,"DP 1.4 x2 데이지체인 지원  |  공식가 참고: 한국 ASUS 공식몰은 모니터 미취급 → 미국 공식몰 가격  |  최저가 참고: 해외구매가가 국내보다 저렴  |  해외구매 ₩607,200"
ASUS,ASUS ProArt Display PA279CV,,,,https://www.asus.com/us/displays-desktops/monitors/proart/proart-display-pa279cv/techspec/,https://www.asus.com/media/global/gallery/vbix8bxyatkzctly_setting_xxx_0_90_end_2000.png,https://www.asus.com/kr/supportonly/pa279cv/helpdesk_manual/,PA279CV,27,3840x2160,60,IPS,5,350,평면,2,2,1.2,1,표준,USB-C,65,100x100,USB-C 30Hz,USB-C 입력은 데이터와 대역폭 공유로 4K@30Hz 제한.  |  공식가 참고: 미국 공식몰 가격  |  최저가 참고: 가격비교 중지
ASUS,ASUS ProArt Display PA34VCNV,,,,https://www.asus.com/us/displays-desktops/monitors/proart/proart-display-pa34vcnv/techspec/,https://dlcdnwebimgs.asus.com/gain/7f25c0ea-b372-4379-aa14-e49c325f379b/w692,https://www.asus.com/kr/supportonly/pa34vcnv/helpdesk_manual/,PA34VCNV,34.1,3440x1440,60,IPS,5,300,3800R,2,2,1.4,2,표준,USB-C,96,100x100,,21:9 울트라와이드. DP 데이지체인 지원  |  공식가 참고: 미국 공식몰 가격  |  최저가 참고: 다나와 가격비교 페이지 없음
ASUS,ASUS ROG Swift OLED PG27AQDM,1250000,,,https://rog.asus.com/us/monitors/27-to-31-5-inches/rog-swift-oled-pg27aqdm/spec/,https://dlcdnwebimgs.asus.com/gain/59F76A27-DF1B-4EB6-A47A-9604D403C261,https://www.asus.com/kr/supportonly/pg27aqdm/helpdesk_manual/,PG27AQDM,27,2560x1440,240,OLED,0.03,미표기,평면,2,2,1.4,1,표준,없음,해당없음,100x100,DP 240Hz / HDMI 120Hz,"SDR 일반 밝기 미표기(HDR 피크 1000cd/㎡만 명시). HDMI는 120Hz 제한, 240Hz는 DP만.  |  공식가 참고: 미국 공식몰 품절(가격은 표시됨)"
ASUS,ASUS VA24DQSB,,,,https://www.asus.com/us/displays-desktops/monitors/eye-care/va24dqsb/techspec/,https://dlcdnwebimgs.asus.com/gain/2a8bfa36-bba5-4144-8589-97c7ba80390d/,https://www.asus.com/kr/supportonly/va24dqsb/helpdesk_manual/,VA24DQSB,23.8,1920x1080,75,IPS,5,250,평면,1.4,1,1.2,1,표준,없음,해당없음,100x100,,|  공식가 참고: 미국 공식몰 가격  |  최저가 참고: 다나와 가격비교 페이지 없음(병행수입만)
Acer,Acer Predator X45,,,,https://www.acer.com/us-en/predator/monitors/x45/pdp/UM.MXXAA.001,,https://www.acer.com/kr-ko/support/product-support/X45,UM.MXXAA.001,45,3440x1440,240,OLED,0.03,1000,800R,2,2,1.4,1,미표기,미표기,미표기,200x100,,"실측 44.5인치(45형 클래스). HDMI 버전이 '2'로만 표기되어 2.0/2.1 구분 불가. USB-C는 'Yes'만 표기되어 영상·PD 미상.  |  공식가 참고: 정가 $1,599.99에서 할인. 한국 공식몰 없음  |  최저가 참고: 다나와 미등록"
Alienware,Alienware 32 4K QD-OLED AW3225QF,1564250,,,https://www.delltechnologies.com/asset/en-us/products/electronics-and-accessories/technical-support/aw3225qf-alienware-32-4k-qd-oled-gaming-monitor-spec-sheet.pdf,https://i.dell.com/is/image/DellContent/content/dam/ss2/product-images/dell-client-products/peripherals/monitors/aw-series/aw3225qf/media-gallery/monitor-alienware-aw3225qf-white-gallery-1.psd?fmt=png-alpha,https://www.dell.com/support/product-details/ko-kr/product/aw3225qf-monitor/resources/manuals,AW3225QF,31.6,3840x2160,240,OLED,0.03,미표기,1700R,2.1,2,1.4,1,표준,없음,해당없음,100x100,HDMI 240Hz / DP 240Hz,패널 원문 'QD-OLED'이나 스펙표 분류는 OLED. 밝기 1000cd/㎡는 HDR 피크이며 SDR 일반 밝기 미표기 → unknown. USB-C는 다운스트림 전용(영상 아님).  |  공식가 참고: 재고 제한
Apple,Apple Studio Display (2026),2199120,,,https://www.apple.com/studio-display/specs/,https://www.apple.com/v/studio-display/specs/b/images/meta/studio-display_specs__d7kv1hkz4ioi_og.png,https://support.apple.com/ko-kr/docs/displays/301291,Studio Display,27,5120x2880,60,미표기,미표기,600,평면,없음,없음,없음,없음,없음,Thunderbolt,96,100x100,,5K Retina 218ppi. HDMI·DP 없음(Thunderbolt 5 + USB-C만). 패널 서브타입·응답속도 미공개. ★VESA는 기본 구성이 아니라 스탠드 대신 택1하는 별도 옵션.  |  공식가 참고: 스탠다드 글래스 + 기울기 조절 스탠드 기준  |  최저가 참고: 스탠다드 글래스+기울기 스탠드 기준
Apple,Apple Studio Display XDR,5199000,,,https://www.apple.com/studio-display-xdr/specs/,https://www.apple.com/v/studio-display-xdr/b/images/meta/studio_display_xdr__dvvwjvcv36uu_og.png,https://support.apple.com/ko-kr/docs/displays/301290,Studio Display XDR,27,5120x2880,120,미표기,미표기,1000,평면,없음,없음,없음,없음,없음,Thunderbolt,140,100x100,,"5K Retina XDR, Mini-LED 2304 디밍존, Adaptive Sync. 밝기 1000nits는 SDR 지속치이고 HDR 피크는 2000nits(컬럼 하나로 표현 불가). ★VESA는 별도 옵션.  |  공식가 참고: 스탠다드 글래스 + 기울기 조절 스탠드 기준. VESA 마운트 구성은 4,599,000원  |  최저가 참고: 스탠드 포함 최저 구성. VESA 구성은 4,599,000원"
BenQ,BenQ MOBIUZ EX2710Q,548990,,,https://www.benq.com/en-us/monitor/gaming/ex2710q/spec.html,https://image.benq.com/is/image/benqco/ex2710q-right45-2?$ResponsivePreset$,https://www.benq.com/ko-kr/support/downloads-faq/products/monitor/ex2710q/manual.html,EX2710Q,27,2560x1440,165,IPS,2,250,평면,2,2,1.4,1,표준,없음,해당없음,100x100,,GtG 2ms와 MPRT 1ms가 별도 항목으로 병기됨. HDR 피크 400nits.  |  공식가 참고: 미국 공식몰 일시 품절(가격은 표시됨). 한국 공식몰 없음
BenQ,BenQ PD2705U DesignVue,790000,,,https://www.benq.com/en-us/monitor/creative-pro/pd2705u/spec.html,https://image.benq.com/is/image/benqco/pd2705u-right45-3?$ResponsivePreset$,https://www.benq.com/ko-kr/support/downloads-faq/products/monitor/pd2705u/manual.html,PD2705U,27,3840x2160,60,IPS,5,250,평면,2,1,1.4,1,표준,USB-C,65,100x100,,|  공식가 참고: 단종(End of Life)  |  최저가 참고: 제조사 단종이나 국내 재고 있음
BenQ,BenQ PD3205U DesignVue,990000,,,https://www.benq.com/en-us/monitor/professional/pd3205u/spec.html,https://image.benq.com/is/image/benqco/pd3205u-right45-2?$ResponsivePreset$,https://www.benq.com/ko-kr/support/downloads-faq/products/monitor/pd3205u/manual.html,PD3205U,31.5,3840x2160,60,IPS,5,250,평면,2,1,1.4,1,표준,USB-C,90,100x100,,"HDR 피크 350nits 별도 표기.  |  공식가 참고: 정가 $579.99에서 할인 중  |  최저가 참고: 일부 셀러 즉시할인가 866,500원"
BenQ,BenQ SW272Q PhotoVue,1664240,,,https://www.benq.com/en-us/monitor/professional/sw272q/spec.html,https://image.benq.com/is/image/benqco/sw272q-left45?$ResponsivePreset$&fmt=png-alpha,https://www.benq.com/ko-kr/support/downloads-faq/products/monitor/sw272q/manual.html,SW272Q,27,2560x1440,60,IPS,5,300,평면,2,2,1.4,1,표준,USB-C,90,100x100,,"SD 카드리더 내장, HDR10.  |  공식가 참고: 단종(End of Life)  |  최저가 참고: 제조사 단종이나 국내 재고 있음"
Dell,Dell 27 USB-C Hub P2723DE,434900,,,https://www.delltechnologies.com/asset/ko-kr/products/electronics-and-accessories/technical-support/dell-24-27-32-usb-c-hub-monitors-p2423de-p2723de-p3223de-datasheet.pdf,"https://i.dell.com/is/image/DellContent/content/dam/ss2/product-images/dell-client-products/peripherals/monitors/p-series/p2723de-/pdp/monitor-p2723de-pdp-module-hero.psd?qlt=95&fit=constrain,1&hei=350&wid=504&fmt=png-alpha",https://www.dell.com/support/product-details/ko-kr/product/p2723de-monitor/resources/manuals,P2723DE,27,2560x1440,60,IPS,5,350,평면,1.4,1,1.4,1,표준,USB-C,90,100x100,,응답 Fast 5ms/Normal 8ms. DP Out 1개 별도(MST). RJ45 이더넷 포함. en-us/en-gb PDF가 404여서 ko-kr 데이터시트 사용.  |  공식가 참고: 일시 품절(가격은 표시됨)
Dell,Dell 32 Curved Gaming S3222DGM,,,,https://dl.dell.com/manuals/all-products/esuprt_electronics_accessories/esuprt_electronics_accessories_monitor/dell-s3222dgm-monitor_Users-Guide_en-us.pdf,https://i.dell.com/is/image/DellContent/content/dam/ss2/product-images/dell-client-products/peripherals/monitors/s-series/s3222dgm/pdp/monitors-dell-gaming-32-s3222dgm-pdp-design-gallery504x350.jpg?fmt=jpg&wid=504&hei=350,https://www.dell.com/support/product-details/ko-kr/product/dell-s3222dgm-monitor/resources/manuals,S3222DGM,31.5,2560x1440,165,VA,2,350,1800R,2,2,1.2,1,표준,없음,해당없음,100x100,HDMI 144Hz / DP 165Hz,"★응답속도 4단계 표기(Fast 8ms/Super Fast 4ms/Extreme 2ms GtG/MPRT 1ms) → GtG 최속 2ms 채택. HDMI는 144Hz, 165Hz는 DP만. 데이터시트가 없어 공식 User's Guide PDF 사용.  |  공식가 참고: 한국몰 접속 실패로 미국몰 가격. 미국몰도 품절  |  최저가 참고: 가격비교 중지"
Dell,Dell UltraSharp 27 4K USB-C Hub U2723QE,,,,https://www.delltechnologies.com/asset/en-gb/products/electronics-and-accessories/technical-support/dell-ultrasharp-27-and-32-usbc-hub-monitors-u2723qe-u3223qe-datasheet.pdf,https://i.dell.com/is/image/DellContent/content/dam/ss2/product-images/dell-client-products/peripherals/monitors/u-series/u2723qe/spi/ng/monitor-u2723qe-campaign-hero-504x350-ng.psd?fmt=jpg&wid=504&hei=350,https://www.dell.com/support/product-details/ko-kr/product/u2723qe-monitor/resources/manuals,U2723QE,27,3840x2160,60,IPS,5,400,평면,2,1,1.4,1,표준,USB-C,90,100x100,,패널 원문 'IPS Black'. 응답속도 Fast 5ms / Normal 8ms. DP Out 1개 별도(입력 아님).  |  공식가 참고: 일시 품절(가격은 표시됨)  |  최저가 참고: 가격비교 중지
Dell,Dell UltraSharp 27 U2724D,498790,,,https://www.delltechnologies.com/asset/en-us/products/electronics-and-accessories/technical-support/dell-ultrasharp-27-monitor-u2724d-datasheet.pdf,https://i.dell.com/is/image/DellContent/content/dam/ss2/product-images/dell-client-products/peripherals/monitors/u-series/u2724d/media-gallery/monitor-ultrasharp-u2724d-qhd-gy-gallery-1.psd?fmt=jpg&wid=1200&hei=630,https://www.dell.com/support/product-details/ko-kr/product/u2724d-monitor/resources/manuals,U2724D,27,2560x1440,120,IPS,5,350,평면,2.1,1,1.4,1,표준,없음,해당없음,100x100,DP 120Hz(8bit) / HDMI 120Hz,패널 원문 'IPS Black'. 응답 Fast 5ms/Normal 8ms. DP Out 1개 별도. USB-C 업스트림은 데이터 전용이라 영상입력 없음(다운스트림 15W는 급전용).  |  공식가 참고: 재고 제한
Dell,Dell UltraSharp 27 Thunderbolt Hub U2724DE,624000,,,https://www.delltechnologies.com/asset/en-gb/products/electronics-and-accessories/technical-support/dell-ultrasharp-27-thunderbolt-hub-monitor-u2724de-datasheet.pdf,https://i.dell.com/is/image/DellContent/content/dam/ss2/product-images/dell-client-products/peripherals/monitors/u-series/u2724de/media-gallery/monitor-ultrasharp-u2724de-gy-gallery-1.psd?qlt=95&fmt=jpg,https://www.dell.com/support/product-details/ko-kr/product/u2724de-monitor/resources/manuals,U2724DE,27,2560x1440,120,IPS,5,350,평면,2.1,1,1.4,1,표준,Thunderbolt,90,100x100,DP 120Hz(8bit) / HDMI 120Hz,패널 원문 'IPS Black'. 응답 Fast 5ms/Normal 8ms. DP Out 1개 별도(입력 아님). HDMI는 TMDS 방식(FRL 아님). 퀵액세스 USB-C 15W는 영상 아님.  |  공식가 참고: 재고 제한
