제조사,모델명,가격(원),무게(g),크기(mm),상품 URL,이미지 URL,설명서 URL,모델 번호,카테고리,폼팩터,센서,DPI 범위,폴링레이트,버튼 수,스위치/클릭 방식,연결 방식,배터리/전원,색상,드라이버/소프트웨어 URL
Logitech,MX Master 3S,129000,141,84.3 x 51 x 124.9,https://support.logi.com/hc/en-us/articles/5218070669847-Specification-MX-Master-3S,"https://resource.logitech.com/w_544,h_466,ar_7:6,c_pad,q_auto,f_auto,dpr_1.0/d_transparent.gif/content/dam/logitech/en/products/mice/mx-master-3s/2025-update/mx-master-3s-bluetooth-edition-top-view-black-new-1.png",https://support.logi.com/hc/en-us/articles/5218056588311-Getting-Started-MX-Master-3S,MR0096,생산성,일반형,Darkfield 고정밀 광학 센서,"200–8,000 DPI (기본값 1,000 DPI)",,"7개 (좌/우클릭, 뒤로/앞으로, 앱 전환, 휠 모드전환, 중클릭)",Quiet Click (MX Master 3 대비 클릭 소음 90% 감소),Logi Bolt USB 리시버 + Bluetooth Low Energy,"충전식 Li-Po 500mAh, USB-C / 1분 충전 시 3시간 사용, 완충 시 최대 70일","Graphite, Pale Grey",https://www.logitech.com/en-us/software/logi-options-plus.html
Logitech,MX Anywhere 3S,96000,95,65 x 34.4 x 100.5,https://support.logi.com/hc/en-us/articles/12895017855127-Specification-MX-Anywhere-3S,"https://resource.logitech.com/w_544,h_466,ar_7:6,c_pad,q_auto,f_auto,dpr_1.0/d_transparent.gif/content/dam/logitech/en/products/mice/mx-anywhere-3s/product-gallery/black/mx-anywhere-3s-mouse-top-view-black.png",https://support.logi.com/hc/en-in/articles/12895016873495-Getting-Started-MX-Anywhere-3S,MR0083,생산성(휴대용),일반형,Darkfield 고정밀 광학 센서,"400–8,000 DPI",,"6개 (좌/우클릭, 휠 모드전환, 중클릭, 뒤로/앞으로)",Quiet Click,Logi Bolt USB 리시버 + Bluetooth Low Energy,"충전식 Li-Po 500mAh, USB-C / 완충 2시간, 최대 70일 사용","Graphite, Pale Grey",https://www.logitech.com/en-us/software/logi-options-plus.html
Logitech,G PRO X SUPERLIGHT 2,164400,60,63.5 x 40 x 125,https://support.logi.com/hc/en-us/articles/15235304069783-Specification-G-PRO-X-Superlight-2-Lightspeed-Gaming-Mouse,"https://resource.logitechg.com/w_544,h_466,ar_7:6,c_pad,q_auto,f_auto,dpr_1.0/d_transparent.gif/content/dam/gaming/en/products/pro-x-superlight-2/new-gallery-assets-2025/pro-x-superlight-2-mice-top-angle-white-gallery-1.png",https://www.logitech.com/assets/66332/logitech-g-pro-x-superlight-2-lightspeed-gaming-mouse.pdf,MR0097,게이밍(초경량),일반형,HERO 2 (25K),"100–44,000 DPI","최대 8,000 Hz (0.125ms)",,LIGHTFORCE 하이브리드 광-기계식 스위치,"LIGHTSPEED 무선 (2.4GHz), USB-C 유선 충전","내장 충전식, 최대 95시간, POWERPLAY 무선충전 호환","Black, White, Magenta (한정판 별도)",https://www.logitechg.com/en-us/innovation/g-hub.html
Logitech,G502 X,84000,89,41.1 x 79.2 x 131.4,https://support.logi.com/hc/en-001/articles/7638880729367-Specification-G502-X-Gaming-Mouse,"https://resource.logitechg.com/w_544,h_466,ar_7:6,c_pad,q_auto,f_auto,dpr_1.0/d_transparent.gif/content/dam/gaming/en/products/g502x-corded/gallery/g502x-corded-gallery-1-white.png",https://www.logitech.com/assets/66240/g502-x-corded-gaming-mice-artanis.pdf,MU0088,게이밍(유선),일반형,HERO 25K,"100–25,600 DPI","최대 1,000Hz (1ms)",11개 버튼 / 13개 프로그래밍 가능 컨트롤,LIGHTFORCE 하이브리드 광-기계식 스위치,USB 2.0 유선,,"Black, White",https://www.logitechg.com/en-us/innovation/g-hub.html
Logitech,G305 LIGHTSPEED,92900,75,62.1 x 38.2 x 116.6,https://support.logi.com/hc/en-us/articles/360023303254-G305-LIGHTSPEED-Wireless-Gaming-Mouse-Technical-Specifications,"https://resource.logitechg.com/w_544,h_466,ar_7:6,c_pad,q_auto,f_auto,dpr_1.0/d_transparent.gif/content/dam/gaming/en/products/g305/2025-update/g305-lightspeed-mouse-top-angle-white-gallery-1.png",https://www.logitech.com/assets/65904/logitech-g305-qsg.pdf,M-R0071,게이밍(보급형 무선),일반형,HERO,"200–12,000 DPI","최대 1,000Hz (1ms)","6개 (좌/우/휠클릭, 전/후진, DPI 변경)",기계식 버튼 텐셔닝 시스템,LIGHTSPEED 무선 2.4GHz (USB 나노 리시버),"AA 건전지 1개 / 최대 250시간(퍼포먼스), 최대 9개월(엔듀런스)",White (외 컬러 라인업 존재),https://www.logitechg.com/en-us/innovation/g-hub.html
Logitech,G502 HERO,40000,121,75 x 40 x 290,https://support.logi.com/hc/en-001/articles/360023303534-Specification-G502-HERO-Gaming-Mouse,,https://www.logitech.com/assets/65517/2/g502-hero.pdf,M-U0047,게이밍(유선),일반형,HERO,"100–25,600 DPI","1,000Hz (1ms)",,,USB 유선 (케이블 2.1m),,,https://www.logitechg.com/en-us/innovation/g-hub.html
Logitech,G203 LIGHTSYNC,54120,,,https://support.logi.com/hc/en-us/articles/360053584973-G203-LIGHTSYNC-Gaming-Mouse,"https://resource.logitechg.com/w_544,h_466,ar_7:6,c_pad,q_auto,f_auto,dpr_1.0/d_transparent.gif/content/dam/gaming/en/products/refreshed-g203/2025-update/g203-mouse-top-angle-lilac-gallery-1.png",https://www.logitech.com/assets/66171/g102--g203-lightsync-web-qsg.pdf,910-005791,게이밍(보급형 유선),일반형,,"200–8,000 DPI",,6개,,USB 유선,,Lilac 등 다양한 컬러,https://www.logitechg.com/en-us/innovation/g-hub.html
Logitech,G403 HERO,64900,,,https://www.logitechg.com/en-us/products/gaming-mice/g403-hero-gaming-mouse.html,"https://resource.logitechg.com/w_544,h_466,ar_7:6,c_pad,q_auto,f_auto,dpr_1.0/d_transparent.gif/content/dam/gaming/en/non-braid/g403/g403-hero-mouse-top-angle-black-gallery-1.png",https://www.logitech.com/assets/65666/g403-hero.pdf,M-U0049,게이밍(유선),일반형,HERO 25K,"100–25,600 DPI",1ms 응답속도,6개 프로그래밍 가능 버튼,,USB 유선,,Black,https://www.logitechg.com/en-us/innovation/g-hub.html
Logitech,G604 LIGHTSPEED,402470,,,https://www.logitech.com/assets/65839/g604-lightspeed-wireless-gaming-mouse-qsg.pdf,,https://www.logitech.com/assets/65839/g604-lightspeed-wireless-gaming-mouse-qsg.pdf,G604,게이밍(다목적 무선),일반형,,400/800/1600/3200 (기본 프리셋),,15개 프로그래밍 가능 컨트롤(G4-G9 포함),,LIGHTSPEED 무선 2.4GHz + Bluetooth 동시 지원,AA 건전지 1개 (리튬 AA 사용 시 경량화 가능),,https://www.logitechg.com/en-us/innovation/g-hub.html
Logitech,MX Vertical,98800,125,79 x 78.5 x 120,https://support.logi.com/hc/en-us/articles/360023303394-MX-Vertical-Technical-Specifications,"https://resource.logitech.com/w_544,h_466,ar_7:6,c_pad,q_auto,f_auto,dpr_1.0/d_transparent.gif/content/dam/logitech/en/products/mice/mx-vertical/gallery/mx-vertical-gallery-04.png",,M-R0074,생산성(버티컬/인체공학),버티컬,,"400–4,000 DPI (기본 1,000/1,600)",,"4개 (뒤로/앞으로, DPI, 중클릭)",,2.4GHz 무선 + Bluetooth LE 4.2,"충전식 Li-Po 240mAh, USB-C / 최대 4개월 사용",,https://www.logitech.com/en-us/software/logi-options-plus.html
Logitech,M720 Triathlon,39850,135,74 x 45 x 115,https://support.logi.com/hc/en-us/articles/360023302794-M720-Triathlon-Technical-Specifications,"https://resource.logitech.com/w_544,h_466,ar_7:6,c_pad,q_auto,f_auto,dpr_1.0/d_transparent.gif/content/dam/logitech/en/products/mice/m720/gallery/m720-gallery-1a.png",,M-R0062,생산성(멀티디바이스),일반형,고정밀 광학 센서,"1,000 (고정)",,8개 (Easy-Switch 3채널),,Bluetooth Low Energy + 2.4GHz 무선,"AA 건전지 1개, 최대 24개월",,https://www.logitech.com/en-us/software/logi-options-plus.html
Logitech,Signature M650,43900,,,https://www.logitech.com/en-us/shop/p/m650-signature-wireless-mouse,"https://resource.logitech.com/w_544,h_466,ar_7:6,c_pad,q_auto,f_auto,dpr_1.0/d_transparent.gif/content/dam/logitech/en/products/mice/m650/update-2025/gallery/graphite-medium/m650-graphite-medium-top-angle-gallery-1.png",,MR0091,생산성(사일런트),일반형,,,,,SilentTouch (무소음 클릭),Bluetooth Low Energy + Logi Bolt USB 리시버,,"Graphite, Rose, Blue 등",https://www.logitech.com/en-us/software/logi-options-plus.html
