제조사,모델명,가격(원),무게(g),크기(mm),상품 URL,이미지 URL,설명서 URL,스피커 형태,연결 방식,채널,출력(W),임피던스,신호대잡음비(SNR),감도,전원방식,인클로저/구성,기타 상세/비고
Creative,사운드 블라스터 GS3,55900,1037,410 x 73.7 x 92.7,https://asia.creative.com/p/speakers/sound-blaster-gs3,https://img.creative.com/images/products/hero/sound-blaster-gs3/pdt_24247.png?width=1200&height=600,https://support.creative.com/manuals/welcome.aspx?catID=4&catName=Speakers&subCatID=1074&subCatName=Sound Blaster&prodID=24247&prodName=Sound Blaster GS3,PC사운드바,"유선(커넥터): 헤드폰단자, USB-C, AUX / 블루투스 (v5.4), 코덱: SBC",2.0채널,24W,-,85dB,-,USB전원,-,-
Creative,PEBBLE V2,42890,,116 x 115 x 122,https://asia.creative.com/p/speakers/creative-pebble-v2,https://img.creative.com/images/products/hero/creative-pebble-v2/pebble-v2-hero-mobile.jpg?width=1200&height=600,https://support.creative.com/manuals/welcome.aspx?catID=4&catName=Speakers&subCatID=1271&subCatName=Pebble&prodID=23379&prodName=Creative Pebble V2,새틀라이트스피커,"유선(입출력): AUX, USB-C",2.0채널,8W,-,-,-,USB전원,-,-
Creative,PEBBLE V3,49900,670,123 x 118 x 120,https://asia.creative.com/p/speakers/creative-pebble-v3,https://img.creative.com/images/products/hero/others/hero-creative-pebble-v3.jpg?width=800&height=800,https://support.creative.com/manuals/welcome.aspx?catID=4&catName=Speakers&subCatID=1271&subCatName=Pebble&prodID=23507&prodName=Creative Pebble V3,새틀라이트스피커,"유선(입출력): AUX, USB-C / 블루투스 (v5.0), 코덱: SBC",2.0채널,8W,-,75dB,-,USB전원,-,-
Creative,PEBBLE X PLUS,149000,2270,위성 139.5 x 136 x 132 / 우퍼 156.4 x 158.5 x 156,https://asia.creative.com/p/speakers/creative-pebble-x-plus,https://img.creative.com/images/products/hero/others/hero-creative-pebble-x-plus.jpg,https://support.creative.com/manuals/welcome.aspx?catID=4&catName=Speakers&subCatID=1271&subCatName=Pebble&prodID=24239&prodName=Creative Pebble X Plus,새틀라이트스피커,"유선(입출력): AUX, 헤드폰단자, 마이크단자, USB-C / 블루투스 (v5.3), 코덱: SBC",2.1채널,15W,-,-,-,USB전원,서브우퍼 구성,-
Creative,PEBBLE PRO,79000,780,123 x 118 x 123,https://asia.creative.com/p/speakers/creative-pebble-pro,https://img.creative.com/images/products/hero/creative-pebble-pro/PebblePRO_MHL.jpg?width=1200&height=600,https://support.creative.com/manuals/welcome.aspx?catID=4&catName=Speakers&subCatID=1271&subCatName=Pebble&prodID=23944&prodName=Creative Pebble Pro,새틀라이트스피커,"유선(입출력): AUX, 헤드폰단자, 마이크단자, USB-C / 블루투스 (v5.3), 코덱: SBC",2.0채널,10W,-,-,-,USB전원,-,-
앱코,SLP20,4190,211,70 x 70 x 70,https://abko.co.kr/brand/detail.php?it_id=1678946864&device=pc,https://abko.co.kr/data/brand/1678946864/SLP20main_01.jpg,https://ncore.co.kr/bbs/data.php,새틀라이트스피커,다나와 미기재,2.0채널,4W (2Wx2),-,-,-,USB전원,-,-
앱코,SP30 MULTIMEDIA,8000,680,70 x 73 x 118,https://www.abko.co.kr/brand/detail.php?it_id=1592558792&device=pc,http://ftp.abko.co.kr/img/DB/speaker/ABKO/SP30/SP30-DB_Final.jpg,https://ncore.co.kr/bbs/data.php,새틀라이트스피커,"유선(입출력): AUX, 헤드폰단자",2.0채널,6W (3Wx2),4Ω,-,-,USB전원,저음반사형,-
앱코,SP400,18700,1300,105 x 105 x 180,https://www.abko.co.kr/brand/detail.php?it_id=1652167081&device=pc,https://www.abko.co.kr/data/brand/1652167081/SP400_Main_01.jpg,https://ncore.co.kr/bbs/data.php,북셸프스피커,"유선(입출력): AUX, 헤드폰단자, 마이크단자",2.0채널,10W,4Ω,-,90dB,USB전원,저음반사형 / MDF,-
앱코,HACKER S1000,23900,,456 x 53 x 65,,https://img.danuri.io/catalog-image/620/409/005/507d4a586a9d40b1ab805770a7c2c4a4.jpg?shrink=330:*&_v=20260916105444 https://img.danuri.io/catalog-image/635/409/005/3d3d6bafea244f71a09ef7e5d2f6dd3b.jpg?shrink=330:*&_v=20260916114943,,PC사운드바,"유선(커넥터): 마이크단자, 헤드폰단자, USB",2.0채널,6W (3Wx2),32Ω,-,120dB (±4dB),USB전원,-,-
앱코,SP56 그래비티 게이밍 스피커,29800,660,410 x 76 x 64.4,https://brand.naver.com/abko/products/13141689751,https://img.danuri.io/catalog-image/441/987/104/802381a9e01847538bac72713d6b9dab.jpg?shrink=500:*&_v=20260916105003,,PC사운드바,유선(커넥터): USB-C / 블루투스 (v5.3),2.0채널,10W (5Wx2),3Ω,75dB,-,USB전원,-,-
