legacy_key,catalog_product_key
intel-core-i5-14400f,cpu:intel:core-i5-14400f
intel-core-i5-14600k,cpu:intel:core-i5-14600k
intel-core-i7-14700k,cpu:intel:core-i7-14700k
intel-core-ultra-7-265k,cpu:intel:core-ultra-7-265k
intel-core-ultra-9-285k,cpu:intel:core-ultra-9-285k
amd-ryzen-5-7600,cpu:amd:ryzen-5-7600
amd-ryzen-7-7700,
amd-ryzen-7-9800x3d,cpu:amd:ryzen-7-9800x3d
amd-ryzen-9-9950x,cpu:amd:ryzen-9-9950x
amd-ryzen-5-5600,
asus-prime-b760m-a-wifi,
asus-rog-strix-z790-e-gaming-wifi,
msi-mag-b760-tomahawk-wifi,
msi-mag-z890-tomahawk-wifi,motherboard:msi:mag-z890-tomahawk-wifi
asrock-b860m-pro-rs,
asus-tuf-gaming-b650-plus-wifi,motherboard:asus:tuf-gaming-b650-plus-wifi
msi-mag-b850-tomahawk-wifi,
asrock-x870e-taichi,motherboard:asrock:x870e-taichi
asrock-b550m-pro-rs,motherboard:asrock:b550m-pro-rs
gigabyte-b650-aorus-elite-ax,motherboard:gigabyte:b650-aorus-elite-ax
samsung-ddr5-5600-32gb-2x16,
g-skill-trident-z5-rgb-ddr5-6000-cl30-32gb-2x16,
g-skill-flare-x5-ddr5-6000-cl36-32gb-2x16,
samsung-ddr4-3200-16gb-2x8,
g-skill-ripjaws-v-ddr4-3600-32gb-2x16,
nvidia-geforce-rtx-4060,gpu:nvidia:geforce-rtx-4060
nvidia-geforce-rtx-4070-super,gpu:nvidia:geforce-rtx-4070-super
nvidia-geforce-rtx-4070-ti-super,
nvidia-geforce-rtx-5070-ti,gpu:nvidia:geforce-rtx-5070-ti
nvidia-geforce-rtx-5080,gpu:nvidia:geforce-rtx-5080
nvidia-geforce-rtx-5090,gpu:nvidia:geforce-rtx-5090
amd-radeon-rx-7600,gpu:amd:radeon-rx-7600
amd-radeon-rx-7800-xt,gpu:amd:radeon-rx-7800-xt
amd-radeon-rx-9070-xt,gpu:amd:radeon-rx-9070-xt
samsung-990-pro-1tb,
samsung-990-pro-2tb,
wd-black-sn770-1tb,
crucial-mx500-1tb,
corsair-rm650e,
corsair-rm750e,
corsair-rm850e,
msi-mpg-a1000g-pcie5,
corsair-sf750,
fractal-design-north,case:프랙탈-디자인:north
nzxt-h5-flow,
cooler-master-nr200p-max,
asus-prime-ap201,
thermalright-peerless-assassin-120-se,cooler:thermalright:peerless-assassin-120-se
noctua-nh-d15,
arctic-liquid-freezer-iii-360,
deepcool-ak400,
